"status","year ","wage","state","occupational_group","job_title","employer_name"
"WITHDRAWN","2011","48000.0","TX","Electrical and Electronic Engineering Technicians","SERVICE ENGINEER","AUTOMATIC CONTROL ELECTRONICS COMPANY"
"CERTIFIED","2011","74298.0","KY","Industrial Engineers","SENIOR INDUSTRIAL ENGINEER","ALERIS ROLLED PRODUCTS, INC."
"CERTIFIED","2011","125798.0","CA","Marketing Managers","SENIOR TECHNICAL MARKETING ENGINEER","ARUBA NETWORKS, INC."
"CERTIFIED","2011","62500.0","ND","Electrical Engineers","TEST ENGINEER","DISTEK INTEGRATION, INC."
"CERTIFIED","2011","107099.0","CA","Software Developers, Applications","SENIOR SOFTWARE ENGINEER","GUIDEWIRE SOFTWARE, INC."
"DENIED","2011","90480.0","CA","Computer Software Engineers, Applications","TECHNICAL LEAD","CDC SOFTWARE, INC."
"CERTIFIED","2011","64000.0","FL","Computer Systems Analysts","CRYSTAL REPORTS WRITER","VIZUALL, INC."
"CERTIFIED","2011","46500.0","IL","Accountants and Auditors","ACCOUNTANTS","HEALTHCARE PLUS CORPORATION INC."
"CERTIFIED","2011","64979.0","IL","Computer Programmers","PROGRAMMER ANALYST","VERINON TECHNOLOGY SOLUTIONS LTD."
"CERTIFIED-WITHDRAWN","2011","50000.0","TX","Mathematical Science Teachers, Postsecondary","SENIOR LECTURER I","THE UNIVERSITY OF TEXAS AT DALLAS"
"CERTIFIED","2011","84460.0","NY","Computer Software Engineers, Applications","ABAP DEVELOPER II","FLIGHTSAFETY INTERNATIONAL, INC."
"CERTIFIED","2011","63100.0","GA","Computer Programmers","COMPUTER PROGRAMMER/CONFIGURER 2","ACCENTURE TECHNOLOGY SOLUTIONS"
"CERTIFIED","2011","73466.0","MA","Computer Software Engineers, Applications","SOFTWARE ENGINEER","ATEA TECHNOLOGIES LLC"
"CERTIFIED","2011","41600.0","MI","Interpreters and Translators","TRANSLATOR","ASAHI KASEI PLASTICS NORTH AMERICA, INC."
"CERTIFIED","2011","85654.0","CA","Auditors","AUDIT SERVICES, MANAGER","ERNST & YOUNG LLP"
"CERTIFIED","2011","45000.0","DC","Biochemists and Biophysicists","POSTDOCTORAL SCIENTIST, DEPARTMENT OF CHEMISTRY","THE GEORGE WASHINGTON UNIVERSITY"
"WITHDRAWN","2011","77834.0","GA","Computer Software Engineers, Applications","KNOWLEDGE ENGINEER","DATAQUICK INFORMATION SYSTEMS, INC."
"CERTIFIED","2011","93434.0","IL","Computer Software Engineers, Systems Software","SENIOR SOFTWARE ENGINEER","CHICAGO MERCANTILE EXCHANGE"
"CERTIFIED","2011","80000.0","WI","Biological Scientists, All Other","CLINICAL MOLECULAR GENETICIST","PREVENTIONGENETICS LLC"
"CERTIFIED","2011","56000.0","MI","Computer Programmers","PROGRAMMER ANALYST","RAVH-IT, INC."
"CERTIFIED","2011","85750.0","MD","Computer Software Engineers, Applications","ANALYST 3, APPLICATIONS DEVELOPMENT","CONSTELLATION ENERGY COMMODITIES GROUP"
"CERTIFIED","2011","78700.0","MI","Computer Systems Analysts","TECHNICAL CONSULTANT III","SAP AMERICA, INC."
"CERTIFIED","2011","80122.0","MI","Computer Software Engineers, Applications","SERVICES INFORMATION DEVELOPER","HP ENTERPRISE SERVICES, LLC"
"CERTIFIED","2011","43500.0","VA","Computer Programmers","PROGRAMMER ANALYST","DIZER CORP"
"CERTIFIED","2011","69576.0","GA","Computer Systems Analysts","PRINCIPAL","MANHATTAN ASSOCIATES, INC."
"WITHDRAWN","2011","60000.0","PA","Computer Programmers","IVR DEVELOPER","KRONSYS, INC."
